127.0.0.1 - - [27/Dec/2020:21:32:15 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:22 +0900] "GET /final/ HTTP/1.1" 200 39640
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:22 +0900] "GET /final/resources/css/style.css HTTP/1.1" 200 48858
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:23 +0900] "GET /final/display?fileName=cafeimage/ HTTP/1.1" 500 3864
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:23 +0900] "GET /final/display?fileName=cafeimage/cafe2.jpg HTTP/1.1" 200 63231
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:23 +0900] "GET /final/display?fileName=cafeimage/cafe4.jpg HTTP/1.1" 200 49368
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:23 +0900] "GET /final/display?fileName=cafeimage/cafe1.jpg HTTP/1.1" 200 79156
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:23 +0900] "GET /final/display?fileName=cafeimage/cafe3.jpg HTTP/1.1" 200 164588
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:23 +0900] "GET /final/display?fileName=cafeimage/Ganghwa1-1.jpg HTTP/1.1" 200 126134
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/display?fileName=cafeimage/Ganghwa3-1.jpg HTTP/1.1" 200 204644
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/display?fileName=cafeimage/Ganghwa4-1.jpg HTTP/1.1" 200 142062
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/display?fileName=cafeimage/cafe5.jpg HTTP/1.1" 200 180539
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/display?fileName=cafeimage/cafe9.jpg HTTP/1.1" 200 589138
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/display?fileName=cafeimage/Ganghwa2-1.jpg HTTP/1.1" 200 546325
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/resources/img/bg-img/home3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/resources/img/bg-img/home4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/resources/img/bg-img/home2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/resources/img/bg-img/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:24 +0900] "GET /final/resources/img/bg-img/home5.jpg HTTP/1.1" 304 -
